EVE_IDF,EVE_TITULO,EVE_DATA_INICIO,EVE_DATA_TERMINO,EVE_REPETIR,EVE_DIA,BAI_DESCRICAO,ETE_DESCRICAO
1815,CONSULTAS PÚBLICAS LDO 2017 - PORTÃO,2016-04-07,2016-04-07,0,,Portão,Eventos Regionais
1816,CONSULTAS PÚBLICAS LDO 2017 - CIC,2016-04-12,2016-04-12,0,,Cidade Industrial de Curitiba,Eventos Regionais
1817,CONSULTAS PÚBLICAS LDO 2017 - BAIRRO NOVO,2016-04-13,2016-04-13,1,4,Sítio Cercado,Eventos Regionais
1818,CONSULTAS PÚBLICAS LDO 2017 - BOQUEIRÃO,2016-04-14,2016-04-14,0,,Boqueirão,Eventos Regionais
1819,CONSULTAS PÚBLICAS LDO 2017 - BOA VISTA,2016-04-19,2016-04-19,0,,Bacacheri,Eventos Regionais
1820,CONSULTAS PÚBLICAS LDO 2017 - PINHEIRINHO,2016-04-26,2016-04-26,0,,Capão Raso,Eventos Regionais
1821,CONSULTAS PÚBLICAS LDO 2017 - MATRIZ,2016-04-27,2016-04-27,0,,São Francisco,Eventos Regionais
1822,CONSULTAS PÚBLICAS LDO 2017 - CAJURU,2016-04-28,2016-04-28,0,,Capão da Imbuia,Eventos Regionais
1823,Festa de Aniversário dos 323 Anos de Curitiba,2016-03-27,2016-03-27,0,,Santo Inácio,Cultura
1826,4º EVENTO DE ADOÇÃO ANIMAL,2016-04-02,2016-04-02,1,7,Jardim das Américas,Eventos Regionais
1830,GP Curitiba de Ciclismo,2016-04-02,2016-04-03,0,,Centro Cívico,Esporte
1835,Aulão de Zumba Azul – Dia Mundial de Conscientização do Autismo,2016-04-01,2016-04-01,0,,Bacacheri,Lazer
1836,Torneio de Futsal Sub13,2016-04-02,2016-04-02,0,,Boqueirão,Esporte
1837,Festival PASE,2016-04-02,2016-04-02,0,,Cidade Industrial de Curitiba,Esporte
1838,Cem Voltas - Matriz,2016-03-30,2016-03-30,0,,Jardim Botânico,Esporte
1839,Inauguração do Portal do Futuro Tatuquara,2016-03-29,2016-03-29,0,,Tatuquara,Inaugurações
1840,I Etapa da Corrida de Revezamento Tatuquara,2016-04-01,2016-04-01,0,,Tatuquara,Esporte
1841,Caminhada contra a Dengue,2016-03-29,2016-03-29,0,,Cidade Industrial de Curitiba,Lazer
1842,Zumba do Aniversário de Curitiba,2016-03-29,2016-03-29,0,,Cidade Industrial de Curitiba,Lazer
1843,Apresentação de Teatro: NORNAN; O COMEDOR DE LIVROS,2016-03-29,2016-03-29,0,,Tatuquara,Cultura
1844,Circuit Zumba,2016-04-01,2016-04-01,0,,Alto Boqueirão,Lazer
1845,Curso Corte para Costura,2016-04-04,2016-04-06,0,,Tatuquara,Cursos
1847,LDO 2017 - CONSULTA PÚBLICA NA REGIONAL BAIRRO NOVO,2016-04-13,2016-04-13,1,4,Sítio Cercado,Eventos Regionais
1848,Consulta Pública,2016-04-05,2016-04-05,1,3,Santo Inácio,Eventos Regionais
1849,Reunião com Secretários e Comunidade,2016-04-09,2016-04-09,1,7,Santa Felicidade,Eventos Regionais
1850,Ciclo de Debates Estado Planejamento e Administração Pública no Brasil,2016-04-28,2016-04-28,0,,São Francisco,Cursos
1851,PALESTRA - EMPREENDORISMO FEMININO,2016-04-05,2016-04-05,1,3,Sítio Cercado,Cursos
1852,BRINCADEIRA TEM HORA,2016-04-02,2016-04-02,1,7,Umbará,Esporte
1853,RUA DE LAZER,2016-04-02,2016-04-02,1,7,Sítio Cercado,Esporte
1854,FESTIVAL PASE ASSOCIAÇÕES FUTSAL SUB 13,2016-04-16,2016-04-16,1,7,Sítio Cercado,Esporte
1855,RUA DE LAZER,2016-04-02,2016-04-02,1,7,Sítio Cercado,Lazer
1856,ESPORTE NA PRAÇA,2016-04-16,2016-04-16,1,7,Sítio Cercado,Esporte
1857,PEDALA CURITIBA - BAIRRO NOVO,2016-04-04,2016-04-04,1,2,Sítio Cercado,Esporte
1858,ESPORTE NA PRAÇA,2016-04-09,2016-04-09,1,7,Sítio Cercado,Esporte
1859,RUA DE LAZER,2016-04-16,2016-04-16,1,7,Sítio Cercado,Lazer
1860,RUA DE LAZER,2016-04-09,2016-04-09,1,7,Sítio Cercado,Lazer
1861,RUA DE LAZER,2016-04-09,2016-04-09,1,7,Sítio Cercado,Lazer
1862,RUA DE LAZER,2016-04-16,2016-04-16,1,7,Sítio Cercado,Lazer
1863,PEDALA CURITIBA - BAIRRO NOVO,2016-04-11,2016-04-11,1,2,Sítio Cercado,Esporte
1864,VIVER CURITIBA CAMINHANDO,2016-04-11,2016-04-11,1,2,Sítio Cercado,Esporte
1865,PEDALA CURITIBA - BAIRRO NOVO,2016-04-18,2016-04-18,1,2,Sítio Cercado,Esporte
1866,RUA DE LAZER,2016-04-23,2016-04-23,1,7,Sítio Cercado,Lazer
1867,RUA DE LAZER,2016-04-23,2016-04-23,1,7,Sítio Cercado,Lazer
1868,PEDALA CURITIBA - BAIRRO NOVO,2016-04-25,2016-04-25,1,2,Sítio Cercado,Esporte
1869,REUNIÃO DO CONSELHO LOCAL DE SAÚDE - SAMBAQUI,2016-04-04,2016-04-04,1,2,Sítio Cercado,Saúde
1870,REUNIÃO DO CONSELHO LOCAL DE SAÚDE - COQUEIROS,2016-04-05,2016-04-05,1,3,Sítio Cercado,Saúde
1872,REUNIÃO DO CONSELHO LOCAL DE SAÚDE - SÃO JOÃO DEL REY,2016-04-07,2016-04-07,1,5,Sítio Cercado,Saúde
1873,REUNIÃO DA COMISSÃO LOCAL DE SAÚDE - UPA SÍTIO CERCADO,2016-04-07,2016-04-07,1,5,Sítio Cercado,Saúde
1874,REUNIÃO DO CONSELHO LOCAL DE SAÚDE - XAPINHAL,2016-04-11,2016-04-11,1,2,Sítio Cercado,Saúde
1875,REUNIÃO DO CONSELHO LOCAL DE SAÚDE - BAIRRO NOVO,2016-04-11,2016-04-11,1,2,Sítio Cercado,Saúde
1876,REUNIÃO DO CONSELHO LOCAL DE SAÚDE - JOÃO CÂNDIDO,2016-04-12,2016-04-12,1,3,Sítio Cercado,Saúde
1877,REUNIÃO DO CONSELHO LOCAL DE SAÚDE - OSTERNACK,2016-04-13,2016-04-13,1,4,Sítio Cercado,Saúde
1878,REUNIÃO DO CONSELHO DISTRITAL DE SAÚDE - BAIRRO NOVO,2016-04-14,2016-04-14,1,5,Sítio Cercado,Saúde
1879,REUNIÃO DO CONSELHO LOCAL DE SAÚDE - PARIGOT DE SOUZA,2016-04-19,2016-04-19,1,3,Sítio Cercado,Saúde
1880,REUNIÃO DO CONSELHO LOCAL DE SAÚDE - NOSSA SENHORA APARECIDA,2016-04-20,2016-04-20,1,4,Sítio Cercado,Saúde
1881,REUNIÃO DO CONSELHO LOCAL DE SAÚDE - UMBARÁ I,2016-04-27,2016-04-27,1,4,Umbará,Saúde
1882,REUNIÃO DO CONSELHO LOCAL DE SAÚDE - UMBARÁ II,2016-04-27,2016-04-27,1,4,Umbará,Saúde
1883,REUNIÃO DA COMISSÃO DA MATERNIDADE BAIRRO NOVO,2016-04-28,2016-04-28,1,5,Sítio Cercado,Saúde
1897,Cem Voltas - Matriz,2016-04-06,2016-04-06,0,,Jardim Botânico,Esporte
1898,Aulão de Zumba,2016-04-08,2016-04-08,0,,Bacacheri,Esporte
1900,Torneio Amistoso de Basquetebol,2016-04-09,2016-04-09,0,,Tinguí,Esporte
1903,Encontro Internacional de Graffiti,2016-04-09,2016-04-10,0,,Sítio Cercado,Cultura
1904,Oficina de Grafite,2016-04-11,2016-04-11,0,,Alto Boqueirão,Cultura
1905,Teatro de Fantoches - Trabalho Infantil,2016-04-05,2016-04-05,0,,Centro,Simpósios/Similares
1906,Curso Bosque na Escola,2016-04-08,2016-04-08,0,,Mercês,Cursos
1907,Lei de Diretrizes Orçamentárias - LDO 2017,2016-04-12,2016-04-12,1,3,Cidade Industrial de Curitiba,Eventos Regionais
1908,Exposição de Artesanatos,2016-05-02,2016-05-31,1,2;3;4;5;6,Cidade Industrial de Curitiba,Cultura
1909,Sessão de Cinema nos Bairros,2016-05-12,2016-05-12,1,5,Cidade Industrial de Curitiba,Cultura
1910,Festival de Música Popular,2016-05-14,2016-05-14,1,7,Portão,Cultura
1911,Projeto Circulando,2016-05-25,2016-05-25,1,4,Portão,Cultura
1912,4ª ANIVERSÁRIO CMEI ARNALDO AGENOR BERTONE,2016-04-09,2016-04-09,1,7,Sítio Cercado,Educação
1913,Curso de Teclado,2016-04-04,2016-04-25,1,3,Sítio Cercado,Cultura
1914,Curso de Violão Popular,2016-04-07,2016-04-29,1,5;6,Sítio Cercado,Cultura
1915,Programa 144 - Curta Criança 02,2016-04-28,2016-04-28,1,5,Sítio Cercado,Cultura
1916,Orquestra Onirê,2016-04-12,2016-04-28,1,4;6,Sítio Cercado,Cultura
1917,Comemoração do Aniversário do Mercado Regional Cajuru,2016-04-16,2016-04-16,0,,Cajuru,Eventos Regionais
1918,I Simposio Nacional de Feiras Livres e Mercado Públicos,2016-04-28,2016-04-29,0,,Centro,Simpósios/Similares
1932,Viver Curitiba Caminhando,2016-04-15,2016-04-15,0,,Cidade Industrial de Curitiba,Esporte
1933,Viver Curitiba Caminhando,2016-04-17,2016-04-17,0,,Cajuru,Esporte
1934,Brincadeira Tem Hora,2016-04-15,2016-04-15,0,,Cidade Industrial de Curitiba,Lazer
1938,PASE Amizade,2016-04-16,2016-04-16,0,,Capão Raso,Esporte
1940,XI Campeonato de Supino CAFI Tatuquara,2016-04-16,2016-04-16,0,,Tatuquara,Esporte
1941,Esporte na Praça,2016-04-16,2016-04-16,0,,Sítio Cercado,Esporte
1942,Torneio Tênis Classe C e D,2016-04-17,2016-04-17,0,,Xaxim,Esporte
1945,Festival de Skate,2016-04-17,2016-04-17,0,,Cidade Industrial de Curitiba,Esporte
1946,DECRETO DE APROVAÇÃO DO LOTEAMENTO DA VILA ACRÓPOLE (COHAB),2016-04-16,2016-04-16,1,7,Cajuru,Eventos Regionais
1954,Feira do Trabalhador,2016-05-06,2016-05-06,0,,Centro,Feiras
1955,SINE MÓVEL,2016-04-16,2016-04-16,0,,Xaxim,Eventos Regionais
1956,SINE MÓVEL,2016-04-16,2016-04-16,0,,Sítio Cercado,Eventos Regionais
1957,SINE MÓVEL,2016-04-16,2016-04-16,0,,Cajuru,Eventos Regionais
1958,SINE MÓVEL,2016-04-18,2016-04-18,0,,Novo Mundo,Eventos Regionais
1959,SINE MÓVEL,2016-04-19,2016-04-19,0,,Sítio Cercado,Eventos Regionais
1960,SINE MÓVEL,2016-04-20,2016-04-20,0,,Pinheirinho,Eventos Regionais
1962,Brincadeira Tem Hora,2016-04-21,2016-04-21,0,,Juveve,Lazer
1963,Circuito de Vôlei,2016-04-23,2016-04-23,0,,Alto Boqueirão,Esporte
1964,Roda de Leitura – “Acasos Pensados”,2016-04-19,2016-04-19,0,,Alto Boqueirão,Cultura
1965,Teatro - Onde é que eu existo?,2016-04-20,2016-04-20,0,,Tatuquara,Cultura
1969,INAUGURAÇÃO - RUA DA CIDADANIA CAJURU,2016-04-23,2016-04-23,1,7,Cajuru,Inaugurações
1970,I Simposio Nacional de Feiras Livres e Mercado Públicos,2016-04-28,2016-04-29,1,5;6,Centro,Simpósios/Similares
1971,SINE Móvel,2016-04-26,2016-04-26,0,,Pilarzinho,Eventos Regionais
1972,SINE Móvel,2016-04-27,2016-04-27,0,,Cidade Industrial de Curitiba,Eventos Regionais
1975,Vôlei de Praia - Sub 17,2016-04-28,2016-04-28,0,,Santo Inácio,Esporte
1976,Vôlei de Praia - Sub 15,2016-04-29,2016-04-29,0,,Santo Inácio,Esporte
1980,Brincadeira Tem Hora,2016-04-30,2016-04-30,0,,Rebouças,Lazer
1981,Cem Voltas - Matriz,2016-04-27,2016-04-27,0,,Jardim Botânico,Esporte
1982,Baile da 3ª Idade,2016-04-29,2016-04-29,0,,Campo Comprido,Lazer
1983,Aulão de Zumba,2016-04-29,2016-04-29,0,,Bacacheri,Lazer
1985,Torneio Decathlon,2016-04-30,2016-04-30,0,,Santa Felicidade,Esporte
1986,Aulão de Aerolocal,2016-04-30,2016-04-30,0,,Tatuquara,Lazer
1987,Aulão de Alongamento,2016-04-30,2016-04-30,0,,Tatuquara,Lazer
1989,Zumba e Circuit Funcional,2016-04-30,2016-04-30,0,,Alto Boqueirão,Lazer
1994,OFICINA REGIONAL DE ADEQUAÇÃO DA LEI DE ZONEAMENTO,2016-05-02,2016-05-02,1,2,Cajuru,Eventos Regionais
1995,PALESTRA SOBRE EMPREENDEDORISMO FEMININO,2016-05-17,2016-05-17,0,,Cajuru,Simpósios/Similares
1996,FESTIVAL DE CULTURA POPULAR,2016-05-14,2016-05-14,1,7,Portão,Cultura
2002,Festa do Dia das Mães,2016-05-06,2016-05-06,0,,Xaxim,Lazer
2003,Cem Voltas - Matriz,2016-05-06,2016-05-06,0,,Jardim Botânico,Esporte
2006,Ciranda das Curandeiras,2016-05-07,2016-05-07,0,,Centro,Cultura
2007,Teatro – Norman; o Comedor de Livros,2016-05-04,2016-05-04,0,,Cidade Industrial de Curitiba,Cultura
2008,Tarde Cultural com “Sarau das Mães”,2016-05-06,2016-05-06,0,,Cajuru,Cultura
2009,Sábado das Mães no Portal do Futuro Cajuru,2016-05-07,2016-05-07,0,,Cajuru,Lazer
2010,Aulão de Ginástica do Mês da Família,2016-05-07,2016-05-07,0,,Sítio Cercado,Lazer
2011,Aulão de Escalada Esportiva do Mês da Família,2016-05-07,2016-05-07,0,,Sítio Cercado,Esporte
2012,Circuito de Bike - Infantil,2016-05-07,2016-05-07,0,,Sítio Cercado,Esporte
2013,Aulão de Zumba e Pilates,2016-05-07,2016-05-07,0,,Tatuquara,Lazer
2015,Copa dos Campeões da Juventude – Futebol de Campo,2016-05-07,2016-05-07,0,,Bairro Alto,Esporte
2016,Festival de Golf 7,2016-05-06,2016-05-06,0,,Santa Felicidade,Esporte
2017,Capacitação PASE Associações,2016-05-07,2016-05-07,0,,Alto Boqueirão,Cursos
2018,Jogos Municipais Femininos,2016-05-07,2016-05-07,0,,Sítio Cercado,Esporte
2019,Copa Curitiba de Natação Paralímpica,2016-05-07,2016-05-07,0,,Tarumã,Esporte
2021,PEDALA CURITIBA BAIRRO NOVO,2016-05-02,2016-05-02,1,2,Sítio Cercado,Esporte
2022,BRINCADEIRA TEM HORA,2016-05-07,2016-05-07,1,7,Sítio Cercado,Lazer
2023,RUA DE LAZER,2016-05-07,2016-05-07,1,7,Sítio Cercado,Lazer
2024,RUA DE LAZER,2016-05-07,2016-05-07,1,7,Sítio Cercado,Lazer
2025,PEDALA CURITIBA BAIRRO NOVO,2016-05-09,2016-05-09,1,2,Sítio Cercado,Esporte
2026,BAILE DIA DAS MÃES,2016-05-12,2016-05-12,1,5,Sítio Cercado,Lazer
2027,FESTIVAL DE ATLETISMO / ESPORTE NA PRAÇA,2016-05-14,2016-05-14,1,7,Sítio Cercado,Esporte
2028,RUA DE LAZER,2016-05-14,2016-05-14,1,7,Sítio Cercado,Lazer
2029,RUA DE LAZER,2016-05-14,2016-05-14,1,7,Sítio Cercado,Lazer
2030,PEDALA CURITIBA BAIRRO NOVO,2016-05-16,2016-05-16,1,2,Sítio Cercado,Esporte
2031,DIA MUNDIAL DO BRINCAR,2016-05-21,2016-05-21,1,7,Sítio Cercado,Lazer
2032,RUA DE LAZER,2016-05-21,2016-05-21,1,7,Sítio Cercado,Lazer
2033,RUA DE LAZER,2016-05-21,2016-05-21,1,7,Sítio Cercado,Lazer
2034,PEDALA CURITIBA BAIRRO NOVO,2016-05-23,2016-05-23,1,2,Sítio Cercado,Esporte
2035,PEDALA CURITIBA BAIRRO NOVO,2016-05-30,2016-05-30,1,2,Sítio Cercado,Esporte
2036,Encontro dos Comitês de Uso Racional de Medicamentos - Curame's da SMS,2016-05-06,2016-05-06,0,,Centro,Cursos
2037,OFICINAS REGIONAIS,2016-05-04,2016-05-04,1,4,Sítio Cercado,Eventos Regionais
2039,Copa dos Campeões da Juventude – Futebol de Campo,2016-05-14,2016-05-14,0,,Bairro Alto,Esporte
2040,Jogos Municipais Femininos,2016-05-14,2016-05-14,0,,Bacacheri,Esporte
2041,Jogos Municipais Femininos,2016-05-15,2016-05-15,0,,Centro,Esporte
2042,Copa Trieste,2016-05-14,2016-05-14,0,,Santa Felicidade,Esporte
2045,Brincadeira Tem Hora,2016-05-13,2016-05-13,0,,Centro,Lazer
2048,Festival de Tênis Classe A e B,2016-05-15,2016-05-15,0,,Xaxim,Esporte
2050,Cem Voltas - Matriz,2016-05-11,2016-05-11,0,,Jardim Botânico,Esporte
2052,Concurso “Masterchef” Portal Cajuru,2016-05-11,2016-05-11,0,,Cajuru,Lazer
2053,Circuito de Vôlei,2016-05-23,2016-05-23,0,,Alto Boqueirão,Esporte
2054,Roda de Leitura – Casa da Leitura,2016-05-10,2016-05-10,0,,Alto Boqueirão,Cultura
2058,AUDIÊNCIA PÚBLICA LDO 2017,2016-05-11,2016-05-11,0,,Santo Inácio,Eventos Regionais
2059,Ciranda das Curandeiras,2016-05-07,2016-05-07,0,,Centro,Cultura
2061,Seminário Cuidado em Liberdade,2016-05-16,2016-05-17,0,,Jardim Botânico,Saúde
2062,Ciclo de Debates Estado Planejamento e Administração Pública no Brasil,2016-05-19,2016-05-19,0,,Centro,Cursos
2063,PALESTRA - EMPREENDEDORISMO FEMININO,2016-05-17,2016-05-17,1,3,Cajuru,Cursos
2064,Pedalão CIC,2016-05-22,2016-05-22,0,,Cidade Industrial de Curitiba,Esporte
