EVE_TITULO;EVE_DATA_INICIO;EVE_DATA_TERMINO;EVE_REPETIR;EVE_DIA;BAI_DESCRICAO;ETE_DESCRICAO;EVE_DESCRICAO_NORM
"RMC-WORKSHOP 3-PLANEJAMENTO: UM OLHAR NO FUTURO; UMA AÇÃO NO PRESENTE.";2016-05-11;2016-05-11;0;*;Prado Velho;Cursos;objetivando desenvolver lideres publicos privados articulem parcerias elaboracao implantacao projetos gerem impactos positivos cenario pequenos negocios contribuindo desenvolvimento sustentavel territorios curso transcorrera meses participacao varias instituicoes publicas instituto municipal administracao publica secretaria assuntos metropolitanosem parceria entidades compoem programa desenvolvimento produtivo integrado regiao metropolitana curitiba
RMC - SEMIPRESENCIAL 2 - CANVAS: O DESENHO DO PROJETO.;2016-05-24;2016-05-24;0;*;Prado Velho;Cursos;objetivando desenvolver lideres publicos privados articulem parcerias elaboracao implantacao projetos gerem impactos positivos cenario pequenos negocios contribuindo desenvolvimento sustentavel territorios curso transcorrera meses participacao varias instituicoes publicas instituto municipal administracao publica secretaria assuntos metropolitanosem parceria entidades compoem programa desenvolvimento produtivo integrado regiao metropolitana curitiba
RMC - WORKSHOP 4 - COMUNICAÇÃO ESTRATÉGICA.;2016-06-14;2016-06-14;0;*;Prado Velho;Cursos;objetivando desenvolver lideres publicos privados articulem parcerias elaboracao implantacao projetos gerem impactos positivos cenario pequenos negocios contribuindo desenvolvimento sustentavel territorios curso transcorrera meses participacao varias instituicoes publicas instituto municipal administracao publica secretaria assuntos metropolitanosem parceria entidades compoem programa desenvolvimento produtivo integrado regiao metropolitana curitiba
RMC - WORKSHOP 5 - NEGOCIAÇÃO: O DESAFIO DE GANHAR JUNTOS.;2016-07-05;2016-07-05;0;*;Prado Velho;Cursos;objetivando desenvolver lideres publicos privados articulem parcerias elaboracao implantacao projetos gerem impactos positivos cenario pequenos negocios contribuindo desenvolvimento sustentavel territorios curso transcorrera meses participacao varias instituicoes publicas instituto municipal administracao publica secretaria assuntos metropolitanosem parceria entidades compoem programa desenvolvimento produtivo integrado regiao metropolitana curitiba
RMC - SEMIPRESENCIAL 3 - REUNIÕES EFICAZES: PODER E INFLUÊNCIA.;2016-07-26;2016-07-26;0;*;Prado Velho;Cursos;objetivando desenvolver lideres publicos privados articulem parcerias elaboracao implantacao projetos gerem impactos positivos cenario pequenos negocios contribuindo desenvolvimento sustentavel territorios curso transcorrera meses participacao varias instituicoes publicas instituto municipal administracao publica secretaria assuntos metropolitanosem parceria entidades compoem programa desenvolvimento produtivo integrado regiao metropolitana curitiba
RMC - WORKSHOP 6 - ALIANÇAS ESTRATÉGICAS: A FORÇA QUE FAZ ACONTECER.;2016-08-16;2016-08-16;0;*;Prado Velho;Cursos;objetivando desenvolver lideres publicos privados articulem parcerias elaboracao implantacao projetos gerem impactos positivos cenario pequenos negocios contribuindo desenvolvimento sustentavel territorios curso transcorrera meses participacao varias instituicoes publicas instituto municipal administracao publica secretaria assuntos metropolitanosem parceria entidades compoem programa desenvolvimento produtivo integrado regiao metropolitana curitiba
RMC - WORKSHOP 8 - APRESENTAÇÕES: COMPARTILHANDO OS RESULTADOS.;2016-10-05;2016-10-05;0;*;Prado Velho;Cursos;objetivando desenvolver lideres publicos privados articulem parcerias elaboracao implantacao projetos gerem impactos positivos cenario pequenos negocios contribuindo desenvolvimento sustentavel territorios curso transcorrera meses participacao varias instituicoes publicas instituto municipal administracao publica secretaria assuntos metropolitanosem parceria entidades compoem programa desenvolvimento produtivo integrado regiao metropolitana curitiba
RMC - WORKSHOP 7 - A DECISÃO NO TEMPO CERTO.;2016-09-16;2016-09-16;0;*;Prado Velho;Cursos;objetivando desenvolver lideres publicos privados articulem parcerias elaboracao implantacao projetos gerem impactos positivos cenario pequenos negocios contribuindo desenvolvimento sustentavel territorios curso transcorrera meses participacao varias instituicoes publicas instituto municipal administracao publica secretaria assuntos metropolitanosem parceria entidades compoem programa desenvolvimento produtivo integrado regiao metropolitana curitiba
RMC - SEMIPRESENCIAL 4 - STORYTELLING - QUEM CONTA A SUA HISTÓRIA.;2016-10-19;2016-10-19;0;*;Prado Velho;Cursos;objetivando desenvolver lideres publicos privados articulem parcerias elaboracao implantacao projetos gerem impactos positivos cenario pequenos negocios contribuindo desenvolvimento sustentavel territorios curso transcorrera meses participacao varias instituicoes publicas instituto municipal administracao publica secretaria assuntos metropolitanosem parceria entidades compoem programa desenvolvimento produtivo integrado regiao metropolitana curitiba
"Palestra ""Casa da Mulher Brasileira""- Secretária Roseli";2016-03-05;2016-03-05;1;7;Pinheirinho;Eventos Regionais;participacao unidade movel acolhimento mulheres situacao violencia secretaria municipal mulher distribuicao materiais informacoes sobre temas violencia contra casa mulher busao lei maria penha
"Palestra ""Autonomia Econômica Feminina e Violência Contra a Mulher""";2016-03-07;2016-03-07;1;2;Rebouças;Simpósios/Similares;secretaria mulher roseli isidoro ira ministrar palestra workshop abrast empoderamento tema autonomia economica feminina violencia contra mulher
Ciclo de Debates Estado Planejamento e Administração Pública no Brasil;2016-03-17;2016-03-17;0;*;Santo Inácio;Cursos;ciclo debates planejamento administracao publica brasil ano planejamento monitoramento politicas publicas experiencias recentes resistencia abertura oficialmesa dialogospalestrantes jose celso pereira cardoso junior instituto pesquisa economica aplicada ipeajose carlos santos professor universitario consultorfabio doria scatolin secretario municipal planejamento administracao sepladalexandre faila coelho tcemediadora liana maria frota carleial presidente instituto municipal administracao publica imapa inscricao podera ser realizada dia site imap http encontro ciclo debates atividades comemorativas aniversario anos curitiba
PALESTRA SOBRE EMPREENDEDORISMO FEMININO;2016-03-09;2016-03-09;0;*;Tatuquara;Simpósios/Similares;nan
PALESTRA SOBRE EMPREENDEDORISMO FEMININO;2016-03-17;2016-03-17;0;*;Santa Felicidade;Simpósios/Similares;nan
PALESTRA SOBRE EMPREENDEDORISMO FEMININO;2016-03-23;2016-03-23;0;*;Boqueirão;Simpósios/Similares;nan
PALESTRA SOBRE EMPREENDEDORISMO FEMININO;2016-04-05;2016-04-05;0;*;Sítio Cercado;Simpósios/Similares;nan
PALESTRA SOBRE EMPREENDEDORISMO FEMININO;2016-04-13;2016-04-13;0;*;Fazendinha;Simpósios/Similares;nan
PALESTRA SOBRE EMPREENDEDORISMO FEMININO;2016-04-18;2016-04-18;0;*;Capão Raso;Simpósios/Similares;nan
PALESTRA SOBRE EMPREENDEDORISMO FEMININO;2016-04-27;2016-04-27;0;*;Boa Vista;Simpósios/Similares;nan
PALESTRA SOBRE EMPREENDEDORISMO FEMININO;2016-05-31;2016-05-31;0;*;Cidade Industrial de Curitiba;Simpósios/Similares;nan
ENTREGA DO ESPAÇO DE SKATE;2016-03-05;2016-03-05;1;7;Uberaba;Eventos Regionais;nan
INAUGURAÇÃO DO ESPAÇO EMPREENDEDOR BOQUEIRÃO;2016-03-23;2016-03-23;0;*;Boqueirão;Inaugurações;nan
PRAÇA DA CIDADANIA/ANIVERSÁRIO DE CURITIBA;2016-03-19;2016-03-19;1;7;Cajuru;Eventos Regionais;ano festividades aniversario curitiba conjunto praca cidadania ofertados varias prestacoes servicos comunidade corte cabelo esmaltacao penteados oficina maquiagem massagem orientacao escovacao afericao pressao tipagem sanguinea dosagens colesterol teste trabalho vagas emprego oficinas pipas brinquedos culturais leoes volei apresentacao boxe capoeira brinquedos inflaveis muro defesa civil cao amigo muitas outras atracoes
Inauguração Espaço Empreendedor Rua da Cidadania Carmo;2016-03-23;2016-03-23;1;4;Boqueirão;Inaugurações;inauguracao novo espaco empreendedor rua cidadania carmo
Caminhada da Mulher e Aulão de Yoga;2016-03-08;2016-03-08;0;*;Tinguí;Esporte;informacao
Aula de Ginástica Especial Dia da Mulher;2016-03-08;2016-03-08;0;*;Boqueirão;Esporte;informacao
Comemoração Dia da Mulher;2016-03-08;2016-03-08;0;*;Centro;Lazer;praca rui barbosatrav frei caneca x pedrosa x pedro ivoinformacao
Aulão de Zumba;2016-03-11;2016-03-11;0;*;Bacacheri;Esporte;informacao
Brincadeira Tem Hora;2016-03-12;2016-03-12;0;*;Butiatuvinha;Lazer;informacoes
Contação de Histórias - Casa da Leitura;2016-03-08;2016-03-11;0;*;Alto Boqueirão;Cultura;informacoes
Roda de Leitura;2016-03-08;2016-03-11;0;*;Alto Boqueirão;Cultura;mulheres ritmo mulheres literatura mulheres filho mil homens poesia feministainformacoes
Aniversário de Curitiba;2016-03-12;2016-03-12;0;*;Tatuquara;Lazer;grande festa diversas atracoes toda comunidade brinquedos inflaveis muro escalada piscina bolinha toboga gigante pula pula cama elastica camarim pintura mini circuito atletismo perna pau jogos gigantes festival food trucks outras atracoes shows banda lyra sandra bento gospel erick silva sertanejo dupla willian renan banda motorblack rock
Inauguração da Escola Integral Vila Torres;2016-03-14;2016-03-14;0;*;Prado Velho;Educação;inauguracao escola integral vila escola capacidade atender alunos horas atendendo antiga reivindicacao comunidade local
Praça da Cidadania;2016-03-19;2016-03-19;0;*;Cajuru;Eventos Regionais;praca cidadania disponibilizara varios servicos gratuitos toda familia afericao pressao medicao glicose exame glicemia atendimento orientacao cuidados higiene bucal orientacao entrevistas elaboracao curriculos quick massage camarim pintura facial oficina pipas brinquedos reciclaveis aulas danca boxe apresentacoes culturais bandas locais avaliacao orientacao nutricional confeccao carteira trabalho corte cabelo pintura unhas penteado maquiagem distribuicao mudas arvores torneio skate campeonato futebol sub aulas participe
Aniversário de Curitiba;2016-03-13;2016-03-13;1;1;Cidade Industrial de Curitiba;Eventos Regionais;entrada gratuitaatracoes culturais feira artesanal gastronomica distribuicao mudas arvores nativas jogos gigantes brinquedos inflaveis piscina bolinha bolo metros distribuicao pipoca algodao doce
Mutirão de Combate a Dengue;2016-03-19;2016-03-19;1;7;Cidade Industrial de Curitiba;Eventos Regionais;evento parceria comunidade desbravadores partir cada unidades saude regional cic equipe voluntarios percorrendo residencias area abrangencia cada encerramento oficial frente administracao regional cic rua manoel valdomiro macedo informacoes entrar contato unidade saude telefone
PALESTRA SOBRE EMPREENDEDORISMO FEMININO;2016-05-04;2016-05-04;0;*;Centro;Simpósios/Similares;nan
Grafite na Praça – Todo Dia é Dia de Cultura!;2016-03-19;2016-03-19;0;*;Rebouças;Lazer;informacao
Cem Voltas (Ciclismo);2016-03-18;2016-03-18;0;*;Jardim Botânico;Esporte;informacoes
Aulão de Zumba;2016-03-18;2016-03-18;0;*;Bacacheri;Esporte;informacoes
Pedala do Pinheirinho das Estações “1ª Etapa Verão”;2016-03-19;2016-03-19;0;*;Capão Raso;Esporte;informacoes
Torneio de Tênis Infantil;2016-03-19;2016-03-19;0;*;Xaxim;Esporte;informacoes
Torneio de Tênis Feminino;2016-03-19;2016-03-19;0;*;Xaxim;Esporte;informacoes
Reinstalação do CRAS e do CREAS - Portão;2016-03-18;2016-03-18;1;6;Novo Mundo;Inaugurações;reinstalacao centro referencia assistencia social cras centro referencia especializado assistencia social reordenamento servicos assistencia social curitiba cras creas portao passam atender novo endereco proporcionando conforto seguranca usuarios servidores publicos pespectiva umatendimento adequado humano novo local reune operacao servicos completam atendimento pessoas situacao rua curitiba
Reinstalação em Novo endereço CREAS Bairro Novo;2016-03-30;2016-03-30;1;4;Sítio Cercado;Inaugurações;nan
Contação de Histórias - Casa da Leitura;2016-03-15;2016-03-21;0;*;Alto Boqueirão;Cultura;informacao
Aulão de Capoeira;2016-06-30;2016-12-04;1;"2;4";Alto Boqueirão;Esporte;informacoes
Aulão de Capoeira;2016-06-30;2016-12-31;1;5;Sítio Cercado;Esporte;informacoes
Aulão de Capoeira;2016-06-30;2016-12-31;1;7;Sítio Cercado;Esporte;informacoes
Aulão de Escalada Esportiva;2016-06-30;2016-12-04;1;"3;4;5";Sítio Cercado;Esporte;
Mutirão de Combate ao Aedes aegypti;2016-03-19;2016-03-19;0;*;Cidade Industrial de Curitiba;Saúde;servico vigilancia saude distrito sanitario cic parceria aequipe desbravadores igreja adventista setimo dia demais voluntarios realizam terceiro mutirao combate aedes aegypti regional cic
Gastronomia Étnica no Mercado Municipal;2016-03-19;2016-03-19;0;*;Centro;Cultura;oficinas gastronomicas dancas folcloricas exposicao marcas grupo folclorico italiano primo oficina palha italiana ana paula oficina caneiro chef rosane radecki
