EVE_TITULO;EVE_DATA_INICIO;EVE_DATA_TERMINO;EVE_REPETIR;EVE_DIA;BAI_DESCRICAO;ETE_DESCRICAO;EVE_DESCRICAO_NORM
REUNIÃO DO CONSELHO LOCAL DE SAÚDE XAPINHAL;2016-12-03;2016-12-03;1;6;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE JOÃO CÂNDIDO;2016-12-05;2016-12-05;1;3;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE PARIGOT DE SOUZA;2016-12-02;2016-12-02;1;3;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE OSTERNACK;2016-12-13;2016-12-13;1;3;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE NOSSA SENHORA APARECIDA;2016-12-06;2016-12-06;1;4;Sítio Cercado;Saúde;nan
PINTURA EM TELA;2016-12-13;2016-12-13;1;2;Sítio Cercado;Cultura;idade partir anosmensalidade r tel
CURSO DE TECLADO;2016-12-14;2016-12-14;1;"2;3";Sítio Cercado;Cultura;idade partir anosmensalidade r tel
CURSO DE VIOLINO;2016-12-05;2016-12-12;1;4;Sítio Cercado;Cultura;idade partir anosmensalidade r tel
DESENHO ARTÍSTICO;2016-12-05;2016-12-13;1;5;Sítio Cercado;Cultura;idade partir anosmensalidade r tel
CURSO DE VIOLÃO POPULAR;2016-12-07;2016-12-14;1;"5;6";Sítio Cercado;Cultura;idade partir anosmensalidade r tel
APRESENTAÇÃO DE CANTO CORAL BAIRRO NOVO;2016-12-01;2016-12-15;1;7;Portão;Cultura;idade livreingresso gratuitoinformacoes tel
AUDIÇÃO DE TECLADO;2016-12-01;2016-12-16;1;2;Sítio Cercado;Cultura;idade livreingresso gratuitoinformacoes tel
BANDA DE MÚSICA DA POLÍCIA MILITAR DO PARANÁ;2016-12-03;2016-12-03;1;4;Sítio Cercado;Cultura;idade livreingresso gratuitoinformacoes tel
AUDIÇÃO DE VIOLINO;2016-12-12;2016-12-12;1;5;Sítio Cercado;Cultura;idade livreingresso gratuitoinformacoes tel
AUDIÇÃO DE VIOLÃO;2016-12-14;2016-12-14;1;6;Sítio Cercado;Cultura;idade livreingresso gratuitoinformacoes tel
APRESENTAÇÃO DO CANTO CORAL BAIRRO NOVO;2016-12-15;2016-12-15;1;7;Sítio Cercado;Cultura;idade livreingresso gratuitoinformacoes tel
Baile de Encerramento;2016-12-16;2016-12-16;0;*;Cajuru;Lazer;baile encerramento
Caminhada de Santa Felicidade;2016-12-17;2016-12-17;0;*;Santa Felicidade;Esporte;informacoes
FESTIVAL DE FÉRIAS DE VERÃO 2017;2016-12-09;2016-12-09;1;"2;3";Sítio Cercado;Lazer;informacoes tel
FESTIVAL DE FÉRIAS DE VERÃO 2017;2016-12-16;2016-12-16;1;"4;5";Sítio Cercado;Lazer;informacoes tel
FESTIVAL DE FÉRIAS DE VERÃO 2017;2017-01-23;2017-01-24;1;6;Sítio Cercado;Lazer;informacoes tel
REUNIÃO DA COMISSÃO DE SAÚDE DA UPA SITIO CERCADO;2017-01-25;2017-01-26;1;5;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAUDE DO SÃO JOÃO DEL REY;2017-01-27;2017-01-27;1;5;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAUDE DO SAMBAQUI;2017-02-02;2017-02-02;1;2;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAUDE DO COQUEIROS;2017-02-02;2017-02-02;1;3;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAUDE DO SALVADOR ALLENDE;2017-02-06;2017-02-06;1;3;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAUDE DO OSTERNACK;2017-02-07;2017-02-07;1;3;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO DISTRITAL DE SAUDE;2017-02-07;2017-02-07;1;5;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAUDE DA UMS BAIRRO NOVO;2017-02-14;2017-02-14;1;2;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DO JOÃO CÂNDIDO;2017-02-09;2017-02-09;1;3;Sítio Cercado;Saúde;nan
REUNIÃO DA COMISSÃO DA MATERNIDADE DO BAIRRO NOVO;2017-02-13;2017-02-13;1;5;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAUDE DO PARIGOT DE SOUZA;2017-02-14;2017-02-14;1;3;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAUDE DA UMS NOSSA SENHORA APARECIDA;2017-02-16;2017-02-16;1;4;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS UMBARÁ I;2017-02-21;2017-02-21;1;2;Umbará;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAUDE DO XAPINHAL;2017-02-15;2017-02-15;1;6;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAUDE DA UMS UMBARÁ II;2017-02-06;2017-02-06;1;4;Umbará;Saúde;nan
BAILE DE CARNAVAL DA MELHOR IDADE;2017-02-03;2017-02-03;1;5;Sítio Cercado;Lazer;informacoes tel veridiana maranho
BAILE DE CARNAVAL - INFANTIL;2017-02-22;2017-02-22;1;"2;3";Sítio Cercado;Lazer;bailes carnaval realizados desde ano regional bairro novo animacao banda lefigarro muita diversao toda familia informacoes
BAILE DE CARNAVAL - ADULTO;2017-02-23;2017-02-23;1;"2;3";Sítio Cercado;Lazer;bailes carnaval realizados desde ano regional bairro novo animacao banda lefigarro muita diversao toda familia informacoes tel
BAILE DE CARNAVAL DA MELHOR IDADE;2017-02-27;2017-02-28;1;3;Guaíra;Lazer;atividade destinada idosos participantes scfv servico convivencia fortalecimento vinculos fas bairro tel claudio miriam
BAILE DE CARNAVAL DA MELHOR IDADE BAIRRO NOVO - FAS e SMELJ;2017-02-27;2017-02-28;1;5;Sítio Cercado;Lazer;atividade destinada idosos participantes scfv servico convivencia fortalecimento vinculos fas bairro tel claudio miriam
DESFILE DO RANCHO DAS FLORES;2017-02-21;2017-02-21;1;7;Sítio Cercado;Lazer;atividade destinada idosos participantes scfv servico convivencia fortalecimento vinculos fas bairro tel claudio miriam
Agita Boa Vista;2017-02-23;2017-02-23;0;*;Tinguí;Lazer;agita boa vista aulao carnaval todos alunos regional comunidade
Palestras em Comemoração ao Dia Internacional da Mulher;2017-02-25;2017-02-25;1;"3;4";Boa Vista;Eventos Regionais;informacoes
Pedala Boa Vista;2017-02-22;2017-02-22;0;*;Bacacheri;Lazer;informacoes
Palestra Dia Internacional da Mulher e Ginástica Laboral;2017-03-07;2017-03-08;0;*;Centro;Eventos Regionais;informacoesnrelj matriz
Caminhada Dia Internacional da Mulher – Visita ao Estádio da Arena;2017-03-09;2017-03-09;0;*;Rebouças;Eventos Regionais;informacoesnrelj matriz
Curso de Teclado;2017-03-08;2017-03-08;1;2;Sítio Cercado;Cultura;informacoes tel
CURSO DE VIOLINO;2017-03-10;2017-03-10;1;4;Sítio Cercado;Cultura;nan
PEDALA CURITIBA BAIRRO NOVO;2017-03-06;2017-03-27;1;4;Sítio Cercado;Esporte;informacoes tel veridiana maranho
Corrida Ciclística das Cem Voltas;2017-03-01;2017-03-29;1;4;Jardim Botânico;Esporte;evento esportivo praticantes
Oficina de Skate - Viva Jovem;2017-03-15;2017-03-15;0;*;Pinheirinho;Esporte;atividade objetivo projeto viva jovem ofertar atividades jovens gostem fazer saudaveis oportunizando jovens tornem protagonistas acesso atividades
FESTA ANIVERSÁRIO 324 ANOS DE CURITIBA & 25 ANOS DO BAIRRO NOVO;2017-09-20;2017-09-20;1;1;Sítio Cercado;Eventos Regionais;informacoes tel
PEDALA CURITIBA BAIRRO NOVO;2017-03-14;2017-03-17;1;4;Sítio Cercado;Esporte;tel veridiana maranho
PEDALA CURITIBA BAIRRO NOVO;2017-03-19;2017-03-19;1;"1;4";Sítio Cercado;Esporte;informacoes tel veridiana maranho
Passos na História;2017-03-22;2017-03-22;0;*;São Francisco;Lazer;caminhada agrega atividade fisica informacoes historicas curitiba durante paradas contextualizacao abordados aspectos caracterizam micro macro historia estorias populares personagens personalidades conjunturas sociais economicas politicas patrimonio edificado arquitetura escultura arte artistas movimentos artisticos planejamento urbano eventos tradicionais
Jogos Escolares de Curitiba -  Vôlei de Praia;2017-03-29;2017-03-29;0;*;Jardim Botânico;Esporte;informacoes
Jogos Escolares de Curitiba -  Vôlei de Praia;2017-03-25;2017-03-25;0;*;Jardim Botânico;Esporte;informacoes
Copa Curitiba de Basquete em Cadeira de Rodas;2017-03-24;2017-03-24;0;*;Xaxim;Esporte;copa curitiba basquete cadeira rodas evento rendimento objetivo fomentar apresentar paradesporto politica publica esporte pessoas deficiencia copa organizada secretaria municipal esporte lazer
Festa Aniversário de Curitiba;2017-03-25;2017-03-25;0;*;Mercês;Lazer;atividades recreativas culturais artisticas toda populacao comemoracao aniversario
Viva Jovem - Break Dance;2017-03-25;2017-03-25;1;"2;5;6";Cidade Industrial de Curitiba;Lazer;informacoes
Viva Jovem – Oficina de Fotografia;2017-03-26;2017-03-26;1;"2;3;4;5;6";Capão Raso;Cursos;objetivo projeto viva jovem ofertar atividades jovens gostem fazer alvo anosinformacoes
Aulão de Ginástica;2017-03-23;2017-03-27;0;*;Xaxim;Esporte;informacoes
Aulão nas Academias ao Ar Livre;2017-03-22;2017-04-05;0;*;Boqueirão;Esporte;informacoes
Caminhada da Mulher;2017-03-24;2017-03-24;0;*;Alto Boqueirão;Esporte;informacoes
Linha do Lazer Cajuru;2017-03-24;2017-03-24;0;*;Jardim das Américas;Lazer;atividades recreativas lazer criancas jovens adultos idosos contribuindo desenvolvimento biopsicossocial meio participacao comunidade acoes atividades ludicas fomentem criatividade socializacao participacao integracao
Encontro Motos e Pedala Cajuru Solidário;2017-03-25;2017-03-25;0;*;Cajuru;Lazer;informacoes
Viva Jovem – Oficina de DJ;2017-03-25;2017-03-25;1;"2;3;4;5;6";Cajuru;Cursos;objetivo projeto viva jovem ofertar atividades jovens gostem fazer alvo anosinformacoes
Aula Inaugural de Capoeira – Projeto Kauande;2017-04-01;2017-04-01;0;*;Pinheirinho;Esporte;informacoes
Aulão de Rítmos;2017-04-03;2017-04-28;0;*;Fazendinha;Lazer;informacoes
Capacitação de Regras de Beach Soccer;2017-03-29;2017-03-29;0;*;Fazendinha;Cursos;informacoes
Reinauguração da Quadra Poliesportiva da Rua da Cidadania do Carmo;2017-03-31;2017-03-31;0;*;Boqueirão;Inaugurações;cerimonia reinauguracao quadra poliesportiva rua cidadania carmo piso revitalizado laterais cobertura quadra fechadas instaladas grades protecao buscando sempre melhor populacao
TEATRO - A PAIXÃO DE CRISTO;2017-03-31;2017-03-31;1;6;Sítio Cercado;Cultura;informacoes
PEDALA CURITIBA BAIRRO NOVO;2017-03-31;2017-03-31;1;4;Sítio Cercado;Esporte;informacoes tel veridiana maranho
FESTIVAL ESPORTE + ESCOLA = 10;2017-04-14;2017-04-14;1;7;Sítio Cercado;Esporte;informacoes tel veridiana maranho
LINHA DO LAZER;2017-04-05;2017-04-05;1;7;Sítio Cercado;Esporte;informacoes tel veridiana maranho
PEDALA CURITIBA BAIRRO NOVO;2017-04-08;2017-04-08;1;4;Sítio Cercado;Esporte;informacoes veridiana maranho
PEDALA CURITIBA BAIRRO NOVO;2017-04-08;2017-04-08;1;4;Sítio Cercado;Esporte;informacoes tel veridiana maranho
PEDALA CURITIBA BAIRRO NOVO;2017-04-12;2017-04-12;1;4;Sítio Cercado;Esporte;informacoes tel veridiana maranho
Linha do Lazer;2017-04-19;2017-04-19;0;*;Fazendinha;Lazer;atividades recreativas toda crianca adolescentes brincadeiras direcionadas ludicidade socializacao integracao
Evento alusivo ao Dia do Exército Brasileiro – Parque Barigui;2017-04-26;2017-04-26;1;"1;7";Mercês;Lazer;maiores informacoes
Aula Inaugural de Judô;2017-04-14;2017-04-14;1;3;Pinheirinho;Eventos Regionais;maiores informacoes
Festa de Páscoa Associação de Moradores e Amigos da Vila Machado;2017-04-22;2017-04-23;1;7;Pinheirinho;Lazer;maiores informacoes
Linha do Lazer;2017-04-18;2017-04-18;1;7;Fazendinha;Lazer;atividades recreativas lazer criancas jovens adultos idosos contribuindo desenvolvimento biopsicossocial meio participacao comunidade acoes atividades ludicas fomentem criatividade socializacao participacao integracao informacoes
Viva Jovem - grafitti;2017-04-22;2017-04-22;0;*;Cidade Industrial de Curitiba;Lazer;objetivo projeto viva jovem grafitti ofertar atividades jovens buscando incentivar participacao coletiva inclusao social oportunizando jovens tornem protagonistas acesso atividades informacoes
Inscrições para Atividades Sistemáticas;2017-04-22;2017-04-22;1;6;Santa Felicidade;Eventos Regionais;vagas disponibilizadas edital interessados deverao comparecer atestado medico liberado pratica atividade
Inscrições para Atividades Sistemáticas;2017-04-18;2017-05-04;1;6;Mercês;Eventos Regionais;vagas disponibilizadas edital interessados deverao comparecer atestado medico liberado pratica atividade
Torneio Basquetebol 3 x 3 (Infantil);2017-05-05;2017-05-05;1;6;Santa Felicidade;Esporte;informacoes
Caminhada e Aulão Dia das Mães Kusma;2017-05-05;2017-05-05;1;6;Santa Felicidade;Lazer;evento alusivo dia maes saida rua cidadania santa
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DO SALVADOR ALLENDE;2017-05-05;2017-05-05;1;4;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO DISTRITAL DE SAÚDE BAIRRO NOVO;2017-05-12;2017-05-12;1;5;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DO JOÃO CÂNDIDO;2017-06-07;2017-06-07;1;2;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DO COQUEIROS;2017-06-08;2017-06-08;1;3;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DO OSTERNACK;2017-03-12;2017-03-12;1;3;Sítio Cercado;Saúde;nan
REUNIÃO DO CONELHO LOCAL DE SAÚDE DO PARIGOT DE SOUZA;2017-06-13;2017-06-13;1;4;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DO SAMBAQUI;2017-06-13;2017-06-13;1;2;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS NOSSA SENHORA APARECIDA;2017-06-14;2017-06-14;1;4;Sítio Cercado;Saúde;nan
Cem Voltas;2017-06-19;2017-06-19;1;4;Jardim Botânico;Esporte;informacoes
JOPEF;2017-06-21;2017-06-21;1;"6;7";Rebouças;Cursos;informacoes
"Início do Curso de Fotografia ""Talento Jovem""";2017-06-14;2017-06-14;0;*;Capão Raso;Cursos;talento jovem junta cultura cidadania abrindo espacos jovens oportunidade mostrar trabalho tempo proporcionam diversao
Fala Curitiba - Consultas Públicas;2017-06-16;2017-06-17;1;3;Lindóia;Eventos Regionais;tradicionais consultas publicas realizadas regionais administrativas precedidas reunioes bairros prefeitura busca atingir numero maior participantes escuta
Fala Curitiba - Consultas Públicas;2017-06-19;2017-07-05;1;5;Novo Mundo;Eventos Regionais;tradicionais consultas publicas realizadas regionais administrativas precedidas reunioes bairros prefeitura busca atingir numero maior participantes escuta
Festival Talento Jovem;2017-06-20;2017-06-20;1;7;Pinheirinho;Eventos Regionais;talento jovem junta cultura cidadania abrindo espacos jovens oportunidade mostrar trabalho tempo proporcionam diversao
Festa Junina;2017-06-22;2017-06-22;1;6;Bacacheri;Eventos Regionais;dancas tipicas quadrilha junina casamento caipira musicas tipicas comidas
Linha do Lazer;2017-06-24;2017-06-24;1;7;Jardim das Américas;Lazer;atividades recreacao
Treinamento de Futebol Americano - Brown Spiders;2017-06-23;2017-06-23;1;"3;5";Tinguí;Esporte;treinamento futebol
Aulão de Capoeira;2017-06-24;2017-06-24;1;2;Tinguí;Esporte;pratica
Aulão de Ritmos;2017-06-20;2017-06-22;1;6;Cidade Industrial de Curitiba;Eventos Regionais;aulao ritmos divulgacao modalidade enquanto possibilidade atividade fisica
Reunião com Associação de Moradores;2017-06-26;2017-06-26;1;4;Santa Felicidade;Eventos Regionais;orientacao sobre novos procedimentos legais repasse material
Aulão de Ginástica;2017-06-23;2017-06-23;1;6;Cidade Industrial de Curitiba;Esporte;aulao ginastica aberto comunidade regional cic objetivando divulgacao importancia atividade fisica busca qualidade
Pedalando e Caminhando com Maria;2017-06-20;2017-06-21;1;1;Alto da Glória;Eventos Regionais;passeio ciclistico caminhada toda
Prova Ciclística 100 voltas;2017-06-23;2017-06-23;1;4;Jardim Botânico;Esporte;prova ciclistica realizada pista didatica velodromo
Aula de Violão;2017-06-25;2017-06-25;1;7;Cidade Industrial de Curitiba;Eventos Regionais;puc acao voluntaria desenvolvendo atividade cultural populacao regional
Aula de Canto;2017-06-21;2017-06-21;1;7;Cidade Industrial de Curitiba;Eventos Regionais;academicos puc acao voluntaria desenvolvendo atividade cultural populacao regional
Aula de Inglês;2017-06-24;2017-06-24;1;7;Cidade Industrial de Curitiba;Eventos Regionais;academicos puc acao voluntaria desenvolvendo atividade cultural populacao regional
7º Simpósio de Futebol em Curitiba;2017-06-24;2017-06-24;1;2;Mercês;Eventos Regionais;evento composto conferencias
Lançamento COMUNIDADE ESCOLA;2017-06-24;2017-06-24;1;7;Tatuquara;Lazer;atividades recreativas toda comunidade cama elastica brinquedos informacoes
Festival de Futsal - Lançamento COMUNIDADE ESCOLA;2017-06-26;2017-06-26;1;7;Tatuquara;Esporte;festival futsal criancas jovens buscando proporcionar pratica esporte atraves jogos
Aulão de Judô;2017-06-24;2017-06-24;1;7;Tatuquara;Esporte;aula destinada criancas jovens objetivo praticar divulgar modalidade alem
Grafitti – Viva Jovem;2017-06-24;2017-06-24;0;*;Portão;Eventos Regionais;aulas curso graffiti integrante programa viva jovem departamento
Pedala na Virada Esportiva;2017-06-24;2017-06-24;1;7;Água Verde;Eventos Regionais;pedalada destino velodromo curitiba dentro programacao virada
Linha do Lazer;2017-06-12;2017-06-29;1;7;Cidade Industrial de Curitiba;Lazer;atividades recreativas lazer comunidade presente evento regional cic perto
Aulão de Defesa Pessoal;2017-07-01;2017-07-01;1;6;Bacacheri;Esporte;aula experimental defesa pessoal visando pratica atividade fisica inclusao
Corrida Circuito das Estações de Inverno;2017-07-01;2017-07-01;1;1;Tarumã;Esporte;participacao corredores bacacheri corrida circuito estacoes
Zumba Open;2017-06-30;2017-06-30;1;6;Fazendinha;Eventos Regionais;desenvolvimento atividade sistematica ginastica ritmos populacao atendida nesta modalidade enfase divulgacao programacao regional semana virada
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS BAIRRO NOVO;2017-07-02;2017-07-02;1;2;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS UMBARÁ I;2017-06-30;2017-06-30;1;2;Umbará;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS SALVADOR ALLENDE;2017-07-03;2017-07-03;1;4;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS SÃO JOÃO DEL REY;2017-07-03;2017-07-03;1;5;Sítio Cercado;Saúde;nan
REUNIÃO DA COMISSÃO LOCAL DA UPA SITIO CERCADO;2017-07-05;2017-07-05;1;5;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS XAPINHAL;2017-07-06;2017-07-06;1;6;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS JOÃO CÂNDIDO;2017-07-06;2017-07-06;1;2;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS COQUEIROS;2017-07-07;2017-07-07;1;3;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS PARIGOT DE SOUZA;2017-07-10;2017-07-10;1;4;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO DISTRITAL DE SAÚDE BAIRRO NOVO;2017-07-11;2017-07-11;1;5;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS SAMBAQUI;2017-07-12;2017-07-12;1;2;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS NOSSA SENHORA APARECIDA;2017-07-13;2017-07-13;1;4;Sítio Cercado;Saúde;nan
REUNIÃO DA COMISSÃO DA MATERNIDADE DO BAIRRO NOVO;2017-07-17;2017-07-17;1;5;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS UMBARÁ II;2017-07-19;2017-07-19;1;4;Umbará;Saúde;nan
Treinamento de Futebol Americano Masculino - Brown Spiders;2017-07-20;2017-07-20;1;3;Tinguí;Esporte;jogo treino futebol
Treinamento de Futebol Americano Masculino - Brown Spiders;2017-07-26;2017-07-26;1;5;Tinguí;Esporte;treino futebol
Treinamento de Futebol Americano Feminino - Curitiba Silverhawks;2017-07-04;2017-07-04;1;6;Tinguí;Esporte;treino futebol
Festa Julina CEI Cantinho do Parque;2017-07-06;2017-07-06;1;7;Tinguí;Eventos Regionais;festa tipica julina dancas comidas
Festival de Férias de Inverno;2017-07-07;2017-07-07;1;"2;3;4";Sítio Cercado;Eventos Regionais;festival atividades recreativas criancas periodo ferias
Festival de Férias;2017-07-08;2017-07-08;1;"3;4;5;6";Centro;Eventos Regionais;atividades fisicas recreativas atender comunidade durante periode ferias
Dança Curitiba Circuito;2017-07-10;2017-07-12;1;1;São Francisco;Eventos Regionais;evento enfatiza busca troca experiencias estimulando bailarinos professores coreografos manter intercambio cultural contribua desenvolvimento tecnico artistico participantes divulgacao
Orientação de Academias ao Ar Livre;2017-07-18;2017-07-21;1;7;Campo de Santana;Eventos Regionais;orientacoes academias ar livre tatuquara objetivo orientar incentivar disseminar conhecimento sobre importancia pratica regular exercicios fisicos atraves academias ar livre all
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DO XAPINHAL;2017-07-30;2017-07-30;1;6;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS BAIRRO NOVO;2017-07-29;2017-07-29;1;2;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS UMBARÁ I;2017-09-01;2017-09-01;1;2;Umbará;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS SALVADOR ALLENDE;2017-09-04;2017-09-04;1;4;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS JOÃO CÂNDIDO;2017-09-04;2017-09-04;1;2;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS COQUEIROS;2017-09-06;2017-09-06;1;3;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS OSTERNACK;2017-09-11;2017-09-11;1;3;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS PARIGOT DE SOUZA;2017-09-12;2017-09-12;1;4;Sítio Cercado;Saúde;nan
REUNIÃO DA COMISSÃO LOCAL DA UPA SITIO CERCADO;2017-09-12;2017-09-12;1;5;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS SAMBAQUI;2017-09-13;2017-09-13;1;2;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS NOSSA SENHORA APARECIDA;2017-09-14;2017-09-14;1;4;Sítio Cercado;Saúde;nan
REUNIÃO DA COMISSÃO DA MATERNIDADE BAIRRO NOVO;2017-09-18;2017-09-18;1;5;Sítio Cercado;Saúde;nan
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS UMBARÁ II;2017-09-20;2017-09-20;1;4;Umbará;Saúde;nan
APRESENTAÇÃO BANDA LYRA E QUINTETO DE CÂMERA DE METAIS;2017-09-21;2017-09-21;1;4;Umbará;Cultura;nan
Aniversário de Curitiba na Regional do Boqueirão;2017-09-27;2017-09-27;1;6;Boqueirão;Viva Curitiba 326;comemoracao aniversario anos curitiba regional boqueirao
Aniversário de Curitiba na Regional do Portão/Fazendinha;2017-11-29;2017-11-29;1;6;Fazendinha;Viva Curitiba 326;comemoracao aniversario anos curitiba regional
Aniversário de Curitiba na Regional do Boa Vista;2018-03-23;2018-03-23;1;7;Bairro Alto;Viva Curitiba 326;comemoracao aniversario anos curitiba regional boa vista
Aniversário de Curitiba na Regional do CIC;2018-03-23;2018-03-23;1;7;Cidade Industrial de Curitiba;Viva Curitiba 326;comemoracao aniversario anos curitiba regional cice exposicao animais parque tropeiros
Aniversário de Curitiba na Regional do Bairro Novo;2018-03-24;2018-03-24;1;7;Sítio Cercado;Viva Curitiba 326;comemoracao aniversario anos curitiba regional bairro novo
Aniversário de Curitiba no Parque Barigui;2018-03-24;2018-03-24;1;1;Santo Inácio;Viva Curitiba 326;programacao aniversario parque barigui brinquedos inflaveis atividades recreativas esportivas atividades inclusivas discoteca tirolesa balanco gangorra distribuicao fatias bolo populacao prevista arena infantil brinquedos pedagogicos camarim pintura maquiagem oficina skate orientacoes sobre aedes aegypit oficinas chaveiro pinhao pintura gesso
Serenata para Curitiba no Parque Tanguá;2018-03-24;2018-03-24;1;1;Pilarzinho;Viva Curitiba 326;serenata curitiba parque musical bailarinos homenagem anos linda curitiba caso chuva evento transferido dia
Aniversário de Curitiba na Regional no Cajuru;2018-03-25;2018-03-25;1;3;Capão da Imbuia;Viva Curitiba 326;comemoracao aniversario anos curitiba regional cajuru
Mutirão da Cidadania do Boa Vista;2018-03-25;2018-03-25;1;"5;6;7";Boa Vista;Viva Curitiba 326;servicos benfeitorias atracoes gratuitas melhorar vida dia dia populacao
Aniversário de Curitiba na Regional Matriz;2018-03-27;2018-03-27;1;2;Centro;Viva Curitiba 326;comemoracao aniversario anos curitiba regional matriz
Aniversário de Curitiba na Regional do Tatuquara;2018-03-01;2018-03-03;1;2;Tatuquara;Viva Curitiba 326;comemoracao aniversario anos curitiba regional tatuquara
Aniversário de Curitiba na Regional de Santa Felicidade;2018-03-12;2018-03-12;1;5;Santa Felicidade;Viva Curitiba 326;comemoracao aniversario anos curitiba regional santa felicidade
Aniversário de Curitiba na Regional do Pinheirinho;2018-03-12;2018-03-12;1;5;Capão Raso;Viva Curitiba 326;comemoracao aniversario anos curitiba regional pinheirinho
Paixão de Cristo 2018 - Equipe Teatral Arte e Vida;2018-03-22;2018-03-22;1;6;Sítio Cercado;Cultura;apresentacao equipe teatral arte franca
Paixão de Cristo 2018 - Associação Cultural Êxodus;2018-03-22;2018-03-22;1;6;Abranches;Cultura;entrada franca
Paixão de Cristo 2018 - ADORARTE;2018-03-30;2018-03-30;1;6;Bairro Alto;Cultura;apresentacao doadorarte grupo teatro paroquia maria mae franca
Paixão de Cristo 2018 - JUBAC;2018-03-30;2018-03-30;1;6;Alto Boqueirão;Cultura;apresentacao grupojubac jovens unidos buscando amor franca
Grupo de Teatro Amor em Cena;2018-03-30;2018-03-30;1;6;Xaxim;Cultura;grupo teatro amor franca
Paixão de Cristo 2018 - Grupo de Teatro;2018-03-30;2018-03-30;1;6;Pinheirinho;Cultura;grupo teatro santuario senhora sagrado franca
