EVE_TITULO,EVE_DATA_INICIO,EVE_DATA_TERMINO,EVE_REPETIR,EVE_DIA,BAI_DESCRICAO,ETE_DESCRICAO
RMC - SEMIPRESENCIAL 3 - REUNIÕES EFICAZES: PODER E INFLUÊNCIA.,2016-07-26,2016-07-26,0,,Prado Velho,Cursos
RMC - WORKSHOP 6 - ALIANÇAS ESTRATÉGICAS: A FORÇA QUE FAZ ACONTECER.,2016-08-16,2016-08-16,0,,Prado Velho,Cursos
RMC - WORKSHOP 8 - APRESENTAÇÕES: COMPARTILHANDO OS RESULTADOS.,2016-10-05,2016-10-05,0,,Prado Velho,Cursos
RMC - WORKSHOP 7 - A DECISÃO NO TEMPO CERTO.,2016-09-16,2016-09-16,0,,Prado Velho,Cursos
RMC - SEMIPRESENCIAL 4 - STORYTELLING - QUEM CONTA A SUA HISTÓRIA.,2016-10-19,2016-10-19,0,,Prado Velho,Cursos
"Palestra ""Casa da Mulher Brasileira""- Secretária Roseli",2016-03-05,2016-03-05,1,7,Pinheirinho,Eventos Regionais
"Palestra ""Autonomia Econômica Feminina e Violência Contra a Mulher""",2016-03-07,2016-03-07,1,2,Rebouças,Simpósios/Similares
Ciclo de Debates Estado Planejamento e Administração Pública no Brasil,2016-03-17,2016-03-17,0,,Santo Inácio,Cursos
PALESTRA SOBRE EMPREENDEDORISMO FEMININO,2016-03-09,2016-03-09,0,,Tatuquara,Simpósios/Similares
PALESTRA SOBRE EMPREENDEDORISMO FEMININO,2016-03-17,2016-03-17,0,,Santa Felicidade,Simpósios/Similares
PALESTRA SOBRE EMPREENDEDORISMO FEMININO,2016-03-23,2016-03-23,0,,Boqueirão,Simpósios/Similares
PALESTRA SOBRE EMPREENDEDORISMO FEMININO,2016-04-05,2016-04-05,0,,Sítio Cercado,Simpósios/Similares
PALESTRA SOBRE EMPREENDEDORISMO FEMININO,2016-04-13,2016-04-13,0,,Fazendinha,Simpósios/Similares
PALESTRA SOBRE EMPREENDEDORISMO FEMININO,2016-04-18,2016-04-18,0,,Capão Raso,Simpósios/Similares
PALESTRA SOBRE EMPREENDEDORISMO FEMININO,2016-04-27,2016-04-27,0,,Boa Vista,Simpósios/Similares
PALESTRA SOBRE EMPREENDEDORISMO FEMININO,2016-05-31,2016-05-31,0,,Cidade Industrial de Curitiba,Simpósios/Similares
ENTREGA DO ESPAÇO DE SKATE,2016-03-05,2016-03-05,1,7,Uberaba,Eventos Regionais
INAUGURAÇÃO DO ESPAÇO EMPREENDEDOR BOQUEIRÃO,2016-03-23,2016-03-23,0,,Boqueirão,Inaugurações
PRAÇA DA CIDADANIA/ANIVERSÁRIO DE CURITIBA,2016-03-19,2016-03-19,1,7,Cajuru,Eventos Regionais
Inauguração Espaço Empreendedor Rua da Cidadania Carmo,2016-03-23,2016-03-23,1,4,Boqueirão,Inaugurações
Caminhada da Mulher e Aulão de Yoga,2016-03-08,2016-03-08,0,,Tinguí,Esporte
Aula de Ginástica Especial Dia da Mulher,2016-03-08,2016-03-08,0,,Boqueirão,Esporte
Comemoração Dia da Mulher,2016-03-08,2016-03-08,0,,Centro,Lazer
Aulão de Zumba,2016-03-11,2016-03-11,0,,Bacacheri,Esporte
Brincadeira Tem Hora,2016-03-12,2016-03-12,0,,Butiatuvinha,Lazer
Contação de Histórias - Casa da Leitura,2016-03-08,2016-03-11,0,,Alto Boqueirão,Cultura
Roda de Leitura,2016-03-08,2016-03-11,0,,Alto Boqueirão,Cultura
Aniversário de Curitiba,2016-03-12,2016-03-12,0,,Tatuquara,Lazer
Inauguração da Escola Integral Vila Torres,2016-03-14,2016-03-14,0,,Prado Velho,Educação
Praça da Cidadania,2016-03-19,2016-03-19,0,,Cajuru,Eventos Regionais
Aniversário de Curitiba,2016-03-13,2016-03-13,1,1,Cidade Industrial de Curitiba,Eventos Regionais
Mutirão de Combate a Dengue,2016-03-19,2016-03-19,1,7,Cidade Industrial de Curitiba,Eventos Regionais
PALESTRA SOBRE EMPREENDEDORISMO FEMININO,2016-05-04,2016-05-04,0,,Centro,Simpósios/Similares
Grafite na Praça – Todo Dia é Dia de Cultura!,2016-03-19,2016-03-19,0,,Rebouças,Lazer
Cem Voltas (Ciclismo),2016-03-18,2016-03-18,0,,Jardim Botânico,Esporte
Aulão de Zumba,2016-03-18,2016-03-18,0,,Bacacheri,Esporte
Pedala do Pinheirinho das Estações “1ª Etapa Verão”,2016-03-19,2016-03-19,0,,Capão Raso,Esporte
Torneio de Tênis Infantil,2016-03-19,2016-03-19,0,,Xaxim,Esporte
Torneio de Tênis Feminino,2016-03-19,2016-03-19,0,,Xaxim,Esporte
Reinstalação do CRAS e do CREAS - Portão,2016-03-18,2016-03-18,1,6,Novo Mundo,Inaugurações
Reinstalação em Novo endereço CREAS Bairro Novo,2016-03-30,2016-03-30,1,4,Sítio Cercado,Inaugurações
Contação de Histórias - Casa da Leitura,2016-03-15,2016-03-21,0,,Alto Boqueirão,Cultura
Aulão de Capoeira,2016-06-30,2016-12-04,1,2;4,Alto Boqueirão,Esporte
Aulão de Capoeira,2016-06-30,2016-12-31,1,5,Sítio Cercado,Esporte
Aulão de Capoeira,2016-06-30,2016-12-31,1,7,Sítio Cercado,Esporte
Aulão de Escalada Esportiva,2016-06-30,2016-12-04,1,3;4;5,Sítio Cercado,Esporte
Mutirão de Combate ao Aedes aegypti,2016-03-19,2016-03-19,0,,Cidade Industrial de Curitiba,Saúde
Gastronomia Étnica no Mercado Municipal,2016-03-19,2016-03-19,0,,Centro,Cultura
Entrega de equipamentos para Maternidade Bairro Novo,2016-03-20,2016-03-20,1,1,Sítio Cercado,Saúde
Reunião do CONSEG da área Central,2016-03-22,2016-03-22,1,3,Centro,Segurança
Contação de Histórias – Casa da Leitura,2016-03-22,2016-03-22,0,,Alto Boqueirão,Cultura
Teatro “A paixão de Cristo” – Grupo de teatro JUBAC,2016-03-25,2016-03-25,0,,Alto Boqueirão,Cultura
Campeonato de Skate – Panzer,2016-03-27,2016-03-27,0,,Alto Boqueirão,Esporte
CONSULTAS PÚBLICAS LDO 2017 - SANTA FELICIDADE,2016-04-05,2016-04-05,0,,Santo Inácio,Eventos Regionais
CONSULTAS PÚBLICAS LDO 2017 - TATUQUARA,2016-04-06,2016-04-06,0,,Tatuquara,Eventos Regionais
CONSULTAS PÚBLICAS LDO 2017 - PORTÃO,2016-04-07,2016-04-07,0,,Portão,Eventos Regionais
CONSULTAS PÚBLICAS LDO 2017 - CIC,2016-04-12,2016-04-12,0,,Cidade Industrial de Curitiba,Eventos Regionais
CONSULTAS PÚBLICAS LDO 2017 - BAIRRO NOVO,2016-04-13,2016-04-13,1,4,Sítio Cercado,Eventos Regionais
CONSULTAS PÚBLICAS LDO 2017 - BOQUEIRÃO,2016-04-14,2016-04-14,0,,Boqueirão,Eventos Regionais
CONSULTAS PÚBLICAS LDO 2017 - BOA VISTA,2016-04-19,2016-04-19,0,,Bacacheri,Eventos Regionais
CONSULTAS PÚBLICAS LDO 2017 - PINHEIRINHO,2016-04-26,2016-04-26,0,,Capão Raso,Eventos Regionais
CONSULTAS PÚBLICAS LDO 2017 - MATRIZ,2016-04-27,2016-04-27,0,,São Francisco,Eventos Regionais
CONSULTAS PÚBLICAS LDO 2017 - CAJURU,2016-04-28,2016-04-28,0,,Capão da Imbuia,Eventos Regionais
Festa de Aniversário dos 323 Anos de Curitiba,2016-03-27,2016-03-27,0,,Santo Inácio,Cultura
4º EVENTO DE ADOÇÃO ANIMAL,2016-04-02,2016-04-02,1,7,Jardim das Américas,Eventos Regionais
GP Curitiba de Ciclismo,2016-04-02,2016-04-03,0,,Centro Cívico,Esporte
Aulão de Zumba Azul – Dia Mundial de Conscientização do Autismo,2016-04-01,2016-04-01,0,,Bacacheri,Lazer
Torneio de Futsal Sub13,2016-04-02,2016-04-02,0,,Boqueirão,Esporte
Festival PASE,2016-04-02,2016-04-02,0,,Cidade Industrial de Curitiba,Esporte
Cem Voltas - Matriz,2016-03-30,2016-03-30,0,,Jardim Botânico,Esporte
Inauguração do Portal do Futuro Tatuquara,2016-03-29,2016-03-29,0,,Tatuquara,Inaugurações
I Etapa da Corrida de Revezamento Tatuquara,2016-04-01,2016-04-01,0,,Tatuquara,Esporte
Caminhada contra a Dengue,2016-03-29,2016-03-29,0,,Cidade Industrial de Curitiba,Lazer
Zumba do Aniversário de Curitiba,2016-03-29,2016-03-29,0,,Cidade Industrial de Curitiba,Lazer
Apresentação de Teatro: NORNAN; O COMEDOR DE LIVROS,2016-03-29,2016-03-29,0,,Tatuquara,Cultura
Circuit Zumba,2016-04-01,2016-04-01,0,,Alto Boqueirão,Lazer
Curso Corte para Costura,2016-04-04,2016-04-06,0,,Tatuquara,Cursos
LDO 2017 - CONSULTA PÚBLICA NA REGIONAL BAIRRO NOVO,2016-04-13,2016-04-13,1,4,Sítio Cercado,Eventos Regionais
Consulta Pública,2016-04-05,2016-04-05,1,3,Santo Inácio,Eventos Regionais
Reunião com Secretários e Comunidade,2016-04-09,2016-04-09,1,7,Santa Felicidade,Eventos Regionais
Ciclo de Debates Estado Planejamento e Administração Pública no Brasil,2016-04-28,2016-04-28,0,,São Francisco,Cursos
PALESTRA - EMPREENDORISMO FEMININO,2016-04-05,2016-04-05,1,3,Sítio Cercado,Cursos
BRINCADEIRA TEM HORA,2016-04-02,2016-04-02,1,7,Umbará,Esporte
RUA DE LAZER,2016-04-02,2016-04-02,1,7,Sítio Cercado,Esporte
FESTIVAL PASE ASSOCIAÇÕES FUTSAL SUB 13,2016-04-16,2016-04-16,1,7,Sítio Cercado,Esporte
RUA DE LAZER,2016-04-02,2016-04-02,1,7,Sítio Cercado,Lazer
ESPORTE NA PRAÇA,2016-04-16,2016-04-16,1,7,Sítio Cercado,Esporte
PEDALA CURITIBA - BAIRRO NOVO,2016-04-04,2016-04-04,1,2,Sítio Cercado,Esporte
ESPORTE NA PRAÇA,2016-04-09,2016-04-09,1,7,Sítio Cercado,Esporte
RUA DE LAZER,2016-04-16,2016-04-16,1,7,Sítio Cercado,Lazer
RUA DE LAZER,2016-04-09,2016-04-09,1,7,Sítio Cercado,Lazer
RUA DE LAZER,2016-04-09,2016-04-09,1,7,Sítio Cercado,Lazer
RUA DE LAZER,2016-04-16,2016-04-16,1,7,Sítio Cercado,Lazer
PEDALA CURITIBA - BAIRRO NOVO,2016-04-11,2016-04-11,1,2,Sítio Cercado,Esporte
VIVER CURITIBA CAMINHANDO,2016-04-11,2016-04-11,1,2,Sítio Cercado,Esporte
PEDALA CURITIBA - BAIRRO NOVO,2016-04-18,2016-04-18,1,2,Sítio Cercado,Esporte
RUA DE LAZER,2016-04-23,2016-04-23,1,7,Sítio Cercado,Lazer
RUA DE LAZER,2016-04-23,2016-04-23,1,7,Sítio Cercado,Lazer
PEDALA CURITIBA - BAIRRO NOVO,2016-04-25,2016-04-25,1,2,Sítio Cercado,Esporte
REUNIÃO DO CONSELHO LOCAL DE SAÚDE - SAMBAQUI,2016-04-04,2016-04-04,1,2,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE - COQUEIROS,2016-04-05,2016-04-05,1,3,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE - SÃO JOÃO DEL REY,2016-04-07,2016-04-07,1,5,Sítio Cercado,Saúde
REUNIÃO DA COMISSÃO LOCAL DE SAÚDE - UPA SÍTIO CERCADO,2016-04-07,2016-04-07,1,5,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE - XAPINHAL,2016-04-11,2016-04-11,1,2,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE - BAIRRO NOVO,2016-04-11,2016-04-11,1,2,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE - JOÃO CÂNDIDO,2016-04-12,2016-04-12,1,3,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE - OSTERNACK,2016-04-13,2016-04-13,1,4,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO DISTRITAL DE SAÚDE - BAIRRO NOVO,2016-04-14,2016-04-14,1,5,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE - PARIGOT DE SOUZA,2016-04-19,2016-04-19,1,3,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE - NOSSA SENHORA APARECIDA,2016-04-20,2016-04-20,1,4,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE - UMBARÁ I,2016-04-27,2016-04-27,1,4,Umbará,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE - UMBARÁ II,2016-04-27,2016-04-27,1,4,Umbará,Saúde
REUNIÃO DA COMISSÃO DA MATERNIDADE BAIRRO NOVO,2016-04-28,2016-04-28,1,5,Sítio Cercado,Saúde
Cem Voltas - Matriz,2016-04-06,2016-04-06,0,,Jardim Botânico,Esporte
Aulão de Zumba,2016-04-08,2016-04-08,0,,Bacacheri,Esporte
Torneio Amistoso de Basquetebol,2016-04-09,2016-04-09,0,,Tinguí,Esporte
Encontro Internacional de Graffiti,2016-04-09,2016-04-10,0,,Sítio Cercado,Cultura
Oficina de Grafite,2016-04-11,2016-04-11,0,,Alto Boqueirão,Cultura
Teatro de Fantoches - Trabalho Infantil,2016-04-05,2016-04-05,0,,Centro,Simpósios/Similares
Curso Bosque na Escola,2016-04-08,2016-04-08,0,,Mercês,Cursos
Lei de Diretrizes Orçamentárias - LDO 2017,2016-04-12,2016-04-12,1,3,Cidade Industrial de Curitiba,Eventos Regionais
Exposição de Artesanatos,2016-05-02,2016-05-31,1,2;3;4;5;6,Cidade Industrial de Curitiba,Cultura
Sessão de Cinema nos Bairros,2016-05-12,2016-05-12,1,5,Cidade Industrial de Curitiba,Cultura
Festival de Música Popular,2016-05-14,2016-05-14,1,7,Portão,Cultura
Projeto Circulando,2016-05-25,2016-05-25,1,4,Portão,Cultura
4ª ANIVERSÁRIO CMEI ARNALDO AGENOR BERTONE,2016-04-09,2016-04-09,1,7,Sítio Cercado,Educação
Curso de Teclado,2016-04-04,2016-04-25,1,3,Sítio Cercado,Cultura
Curso de Violão Popular,2016-04-07,2016-04-29,1,5;6,Sítio Cercado,Cultura
Programa 144 - Curta Criança 02,2016-04-28,2016-04-28,1,5,Sítio Cercado,Cultura
Orquestra Onirê,2016-04-12,2016-04-28,1,4;6,Sítio Cercado,Cultura
Comemoração do Aniversário do Mercado Regional Cajuru,2016-04-16,2016-04-16,0,,Cajuru,Eventos Regionais
I Simposio Nacional de Feiras Livres e Mercado Públicos,2016-04-28,2016-04-29,0,,Centro,Simpósios/Similares
Viver Curitiba Caminhando,2016-04-15,2016-04-15,0,,Cidade Industrial de Curitiba,Esporte
Viver Curitiba Caminhando,2016-04-17,2016-04-17,0,,Cajuru,Esporte
Brincadeira Tem Hora,2016-04-15,2016-04-15,0,,Cidade Industrial de Curitiba,Lazer
PASE Amizade,2016-04-16,2016-04-16,0,,Capão Raso,Esporte
XI Campeonato de Supino CAFI Tatuquara,2016-04-16,2016-04-16,0,,Tatuquara,Esporte
Esporte na Praça,2016-04-16,2016-04-16,0,,Sítio Cercado,Esporte
Torneio Tênis Classe C e D,2016-04-17,2016-04-17,0,,Xaxim,Esporte
Festival de Skate,2016-04-17,2016-04-17,0,,Cidade Industrial de Curitiba,Esporte
DECRETO DE APROVAÇÃO DO LOTEAMENTO DA VILA ACRÓPOLE (COHAB),2016-04-16,2016-04-16,1,7,Cajuru,Eventos Regionais
Feira do Trabalhador,2016-05-06,2016-05-06,0,,Centro,Feiras
SINE MÓVEL,2016-04-16,2016-04-16,0,,Xaxim,Eventos Regionais
SINE MÓVEL,2016-04-16,2016-04-16,0,,Sítio Cercado,Eventos Regionais
SINE MÓVEL,2016-04-16,2016-04-16,0,,Cajuru,Eventos Regionais
SINE MÓVEL,2016-04-18,2016-04-18,0,,Novo Mundo,Eventos Regionais
SINE MÓVEL,2016-04-19,2016-04-19,0,,Sítio Cercado,Eventos Regionais
SINE MÓVEL,2016-04-20,2016-04-20,0,,Pinheirinho,Eventos Regionais
Brincadeira Tem Hora,2016-04-21,2016-04-21,0,,Juveve,Lazer
Circuito de Vôlei,2016-04-23,2016-04-23,0,,Alto Boqueirão,Esporte
Roda de Leitura – “Acasos Pensados”,2016-04-19,2016-04-19,0,,Alto Boqueirão,Cultura
Teatro - Onde é que eu existo?,2016-04-20,2016-04-20,0,,Tatuquara,Cultura
INAUGURAÇÃO - RUA DA CIDADANIA CAJURU,2016-04-23,2016-04-23,1,7,Cajuru,Inaugurações
I Simposio Nacional de Feiras Livres e Mercado Públicos,2016-04-28,2016-04-29,1,5;6,Centro,Simpósios/Similares
SINE Móvel,2016-04-26,2016-04-26,0,,Pilarzinho,Eventos Regionais
SINE Móvel,2016-04-27,2016-04-27,0,,Cidade Industrial de Curitiba,Eventos Regionais
Vôlei de Praia - Sub 17,2016-04-28,2016-04-28,0,,Santo Inácio,Esporte
Vôlei de Praia - Sub 15,2016-04-29,2016-04-29,0,,Santo Inácio,Esporte
Brincadeira Tem Hora,2016-04-30,2016-04-30,0,,Rebouças,Lazer
Cem Voltas - Matriz,2016-04-27,2016-04-27,0,,Jardim Botânico,Esporte
Baile da 3ª Idade,2016-04-29,2016-04-29,0,,Campo Comprido,Lazer
Aulão de Zumba,2016-04-29,2016-04-29,0,,Bacacheri,Lazer
Torneio Decathlon,2016-04-30,2016-04-30,0,,Santa Felicidade,Esporte
Aulão de Aerolocal,2016-04-30,2016-04-30,0,,Tatuquara,Lazer
Aulão de Alongamento,2016-04-30,2016-04-30,0,,Tatuquara,Lazer
Zumba e Circuit Funcional,2016-04-30,2016-04-30,0,,Alto Boqueirão,Lazer
OFICINA REGIONAL DE ADEQUAÇÃO DA LEI DE ZONEAMENTO,2016-05-02,2016-05-02,1,2,Cajuru,Eventos Regionais
PALESTRA SOBRE EMPREENDEDORISMO FEMININO,2016-05-17,2016-05-17,0,,Cajuru,Simpósios/Similares
FESTIVAL DE CULTURA POPULAR,2016-05-14,2016-05-14,1,7,Portão,Cultura
Festa do Dia das Mães,2016-05-06,2016-05-06,0,,Xaxim,Lazer
Cem Voltas - Matriz,2016-05-06,2016-05-06,0,,Jardim Botânico,Esporte
Ciranda das Curandeiras,2016-05-07,2016-05-07,0,,Centro,Cultura
Teatro – Norman; o Comedor de Livros,2016-05-04,2016-05-04,0,,Cidade Industrial de Curitiba,Cultura
Tarde Cultural com “Sarau das Mães”,2016-05-06,2016-05-06,0,,Cajuru,Cultura
Sábado das Mães no Portal do Futuro Cajuru,2016-05-07,2016-05-07,0,,Cajuru,Lazer
Aulão de Ginástica do Mês da Família,2016-05-07,2016-05-07,0,,Sítio Cercado,Lazer
Aulão de Escalada Esportiva do Mês da Família,2016-05-07,2016-05-07,0,,Sítio Cercado,Esporte
Circuito de Bike - Infantil,2016-05-07,2016-05-07,0,,Sítio Cercado,Esporte
Aulão de Zumba e Pilates,2016-05-07,2016-05-07,0,,Tatuquara,Lazer
Copa dos Campeões da Juventude – Futebol de Campo,2016-05-07,2016-05-07,0,,Bairro Alto,Esporte
Festival de Golf 7,2016-05-06,2016-05-06,0,,Santa Felicidade,Esporte
Capacitação PASE Associações,2016-05-07,2016-05-07,0,,Alto Boqueirão,Cursos
Jogos Municipais Femininos,2016-05-07,2016-05-07,0,,Sítio Cercado,Esporte
Copa Curitiba de Natação Paralímpica,2016-05-07,2016-05-07,0,,Tarumã,Esporte
PEDALA CURITIBA BAIRRO NOVO,2016-05-02,2016-05-02,1,2,Sítio Cercado,Esporte
BRINCADEIRA TEM HORA,2016-05-07,2016-05-07,1,7,Sítio Cercado,Lazer
RUA DE LAZER,2016-05-07,2016-05-07,1,7,Sítio Cercado,Lazer
RUA DE LAZER,2016-05-07,2016-05-07,1,7,Sítio Cercado,Lazer
PEDALA CURITIBA BAIRRO NOVO,2016-05-09,2016-05-09,1,2,Sítio Cercado,Esporte
BAILE DIA DAS MÃES,2016-05-12,2016-05-12,1,5,Sítio Cercado,Lazer
FESTIVAL DE ATLETISMO / ESPORTE NA PRAÇA,2016-05-14,2016-05-14,1,7,Sítio Cercado,Esporte
RUA DE LAZER,2016-05-14,2016-05-14,1,7,Sítio Cercado,Lazer
RUA DE LAZER,2016-05-14,2016-05-14,1,7,Sítio Cercado,Lazer
PEDALA CURITIBA BAIRRO NOVO,2016-05-16,2016-05-16,1,2,Sítio Cercado,Esporte
DIA MUNDIAL DO BRINCAR,2016-05-21,2016-05-21,1,7,Sítio Cercado,Lazer
RUA DE LAZER,2016-05-21,2016-05-21,1,7,Sítio Cercado,Lazer
RUA DE LAZER,2016-05-21,2016-05-21,1,7,Sítio Cercado,Lazer
PEDALA CURITIBA BAIRRO NOVO,2016-05-23,2016-05-23,1,2,Sítio Cercado,Esporte
PEDALA CURITIBA BAIRRO NOVO,2016-05-30,2016-05-30,1,2,Sítio Cercado,Esporte
Encontro dos Comitês de Uso Racional de Medicamentos - Curame's da SMS,2016-05-06,2016-05-06,0,,Centro,Cursos
OFICINAS REGIONAIS,2016-05-04,2016-05-04,1,4,Sítio Cercado,Eventos Regionais
Copa dos Campeões da Juventude – Futebol de Campo,2016-05-14,2016-05-14,0,,Bairro Alto,Esporte
Jogos Municipais Femininos,2016-05-14,2016-05-14,0,,Bacacheri,Esporte
Jogos Municipais Femininos,2016-05-15,2016-05-15,0,,Centro,Esporte
Copa Trieste,2016-05-14,2016-05-14,0,,Santa Felicidade,Esporte
Brincadeira Tem Hora,2016-05-13,2016-05-13,0,,Centro,Lazer
Festival de Tênis Classe A e B,2016-05-15,2016-05-15,0,,Xaxim,Esporte
Cem Voltas - Matriz,2016-05-11,2016-05-11,0,,Jardim Botânico,Esporte
Concurso “Masterchef” Portal Cajuru,2016-05-11,2016-05-11,0,,Cajuru,Lazer
Circuito de Vôlei,2016-05-23,2016-05-23,0,,Alto Boqueirão,Esporte
Roda de Leitura – Casa da Leitura,2016-05-10,2016-05-10,0,,Alto Boqueirão,Cultura
AUDIÊNCIA PÚBLICA LDO 2017,2016-05-11,2016-05-11,0,,Santo Inácio,Eventos Regionais
Ciranda das Curandeiras,2016-05-07,2016-05-07,0,,Centro,Cultura
Seminário Cuidado em Liberdade,2016-05-16,2016-05-17,0,,Jardim Botânico,Saúde
Ciclo de Debates Estado Planejamento e Administração Pública no Brasil,2016-05-19,2016-05-19,0,,Centro,Cursos
PALESTRA - EMPREENDEDORISMO FEMININO,2016-05-17,2016-05-17,1,3,Cajuru,Cursos
Pedalão CIC,2016-05-22,2016-05-22,0,,Cidade Industrial de Curitiba,Esporte
Passeio Ciclístico – Pedala Boa Vista,2016-05-22,2016-05-22,0,,Bacacheri,Lazer
Jogos do PASE - Futsal,2016-05-20,2016-05-20,0,,Capão Raso,Esporte
Copa Integração Metropolitana - Futsal,2016-05-21,2016-05-21,0,,Portão,Esporte
Café Dançantes das Mães,2016-05-20,2016-05-20,0,,Capão Raso,Lazer
Dia da Família no Portal,2016-05-21,2016-05-21,0,,Centro,Lazer
1º Festival de Xadrez,2016-05-21,2016-05-21,0,,Alto Boqueirão,Esporte
Circuito de Vôlei,2016-05-21,2016-05-21,0,,Alto Boqueirão,Esporte
Roda de Leitura: Livros do vestibular (Martins Pena),2016-05-18,2016-05-18,0,,Alto Boqueirão,Cultura
Roda de Leitura – Casa da Leitura,2016-05-17,2016-05-17,0,,Alto Boqueirão,Cultura
Aulão de Zumba e Pilates,2016-05-21,2016-05-21,0,,Sítio Cercado,Esporte
Semana Cultural,2016-05-17,2016-05-17,0,,Cidade Industrial de Curitiba,Cultura
Semana Cultural,2016-05-18,2016-05-18,0,,Cidade Industrial de Curitiba,Cultura
Semana Cultural,2016-05-19,2016-05-19,0,,Cidade Industrial de Curitiba,Cultura
CURSO DE TECLADO,2016-05-03,2016-05-31,1,3,Sítio Cercado,Cultura
Orquestra Onirê,2016-05-03,2016-05-31,1,3;5,Sítio Cercado,Cultura
Festa Junina – Regional Boa vista,2016-06-03,2016-06-03,0,,Tarumã,Lazer
2º Etapa da Corrida de Revezamento CAFI Tatuquara,2016-06-03,2016-06-03,0,,Tatuquara,Esporte
Festival de Judô,2016-06-04,2016-06-04,0,,Xaxim,Esporte
